id;region_name;region_code
1;Республика Адыгея (Адыгея);01
2;Республика Башкортостан;02
3;Республика Бурятия;03
4;Республика Алтай;04
5;Республика Дагестан;05
6;Республика Ингушетия;06
7;Кабардино-Балкарская Республика;07
8;Республика Калмыкия;08
9;Карачаево-Черкесская Республика;09
10;Республика Карелия;10
11;Республика Коми;11
12;Республика Марий Эл;12
13;Республика Мордовия;13
14;Республика Саха (Якутия);14
15;Республика Северная Осетия - Алания;15
16;Республика Татарстан (Татарстан);16
17;Республика Тыва;17
18;Удмуртская Республика;18
19;Республика Хакасия;19
20;Чеченская Республика;20
21;Чувашская Республика - Чувашия;21
22;Алтайский край;22
23;Краснодарский край;23
24;Красноярский край;24
25;Приморский край;25
26;Ставропольский край;26
27;Хабаровский край;27
28;Амурская область;28
29;Архангельская область;29
30;Астраханская область;30
31;Белгородская область;31
32;Брянская область;32
33;Владимирская область;33
34;Волгоградская область;34
35;Вологодская область;35
36;Воронежская область;36
37;Ивановская область;37
38;Иркутская область;38
39;Калининградская область;39
40;Калужская область;40
41;Камчатский край;41
42;Кемеровская область;42
43;Кировская область;43
44;Костромская область;44
45;Курганская область;45
46;Курская область;46
47;Ленинградская область;47
48;Липецкая область;48
49;Магаданская область;49
50;Московская область;50
51;Мурманская область;51
52;Нижегородская область;52
53;Новгородская область;53
54;Новосибирская область;54
55;Омская область;55
56;Оренбургская область;56
57;Орловская область;57
58;Пензенская область;58
59;Пермский край;59
60;Псковская область;60
61;Ростовская область;61
62;Рязанская область;62
63;Самарская область;63
64;Саратовская область;64
65;Сахалинская область;65
66;Свердловская область;66
67;Смоленская область;67
68;Тамбовская область;68
69;Тверская область;69
70;Томская область;70
71;Тульская область;71
72;Тюменская область;72
73;Ульяновская область;73
74;Челябинская область;74
75;Забайкальский край;75
76;Ярославская область;76
77;г. Москва;77
78;Санкт-Петербург;78
79;Еврейская автономная область;79
83;Ненецкий автономный округ;83
86;Ханты-Мансийский автономный округ - Югра;86
87;Чукотский автономный округ;87
89;Ямало-Ненецкий автономный округ;88
91;Республика Крым;91
92;Севастополь;92
99;Иные территории, включая город и космодром Байконур;99
100;Российская Федерация;00
