id;year_sl;quarter_sl;date_accept_sl;value_per_capita_sl;value_for_capable_sl;value_for_pensioners_sl;value_for_children_sl
1;75923;84103;2019-12-29T19:23:53;34989;10270;79781;99179
2;21933;95062;2019-12-29T11:14:03;17084;25070;38730;96599
3;44886;48819;2019-12-30T03:29:34;2774;31982;481;38270
4;65856;40549;2019-12-29T22:01:18;21951;52614;18050;38281
5;48132;29966;2019-12-29T23:39:07;58365;87290;87661;9672
6;6417;7822;2019-12-30T00:48:22;50049;25702;4645;50790
7;80948;86754;2019-12-29T09:20:56;91556;67975;72275;84664
8;28625;90154;2019-12-29T19:09:01;6788;31059;13131;27785
9;21554;77709;2019-12-29T09:12:08;9366;83785;15411;35726
10;75060;83648;2019-12-29T16:41:44;16901;25456;76839;61547
